date,area,system,buy,sell
14-03-2026,TP. Hồ Chí Minh,SJC,179.600,182.600
14-03-2026,TP. Hồ Chí Minh,PNJ,179.600,182.600
14-03-2026,TP. Hồ Chí Minh,DOJI,179.600,182.600
14-03-2026,TP. Hồ Chí Minh,Mi Hồng,180.600,182.600
14-03-2026,TP. Hồ Chí Minh,Ngọc Thẩm,179.600,182.600
14-03-2026,Miền Bắc,SJC,179.600,182.600
14-03-2026,Hạ Long,SJC,179.600,182.600
14-03-2026,Hải Phòng,SJC,179.600,182.600
14-03-2026,Miền Trung,SJC,179.600,182.600
14-03-2026,Huế,SJC,179.600,182.600
14-03-2026,Quảng Ngãi,SJC,179.600,182.600
14-03-2026,Nha Trang,SJC,179.600,182.600
14-03-2026,Biên Hòa,SJC,179.600,182.600
14-03-2026,Miền Tây,SJC,179.600,182.600
14-03-2026,Miền Tây,Ngọc Thẩm,179.600,182.600
14-03-2026,Bạc Liêu,SJC,179.600,182.600
14-03-2026,Cà Mau,SJC,179.600,182.600
14-03-2026,Hà Nội,PNJ,179.600,182.600
14-03-2026,Hà Nội,DOJI,179.600,182.600
14-03-2026,Hà Nội,Bảo Tín Minh Châu,179.600,182.600
14-03-2026,Hà Nội,Bảo Tín Mạnh Hải,179.600,182.600
14-03-2026,Hà Nội,Phú Quý,179.600,182.600
14-03-2026,Đà Nẵng,PNJ,179.600,182.600
14-03-2026,Đà Nẵng,DOJI,179.600,182.600
14-03-2026,Miền Tây,PNJ,179.600,182.600
14-03-2026,Tây Nguyên,PNJ,179.600,182.600
14-03-2026,Đông Nam Bộ,PNJ,179.600,182.600
14-03-2026,Đông Nam Bộ,Ngọc Thẩm,179.600,182.600
14-03-2026,Bắc Ninh,Bảo Tín Mạnh Hải,179.600,182.600
14-03-2026,Hải Dương,Bảo Tín Mạnh Hải,179.600,182.600
14-03-2026,Bến Tre,Mi Hồng,180.600,182.600
14-03-2026,Tiền Giang,Mi Hồng,180.600,182.600
14-03-2026,Mỹ Tho,Ngọc Thẩm,179.600,182.600
14-03-2026,Vĩnh Long,Ngọc Thẩm,179.600,182.600
14-03-2026,Long Xuyên,Ngọc Thẩm,179.600,182.600
14-03-2026,Cần Thơ,Ngọc Thẩm,179.600,182.600
14-03-2026,Sa Đéc,Ngọc Thẩm,179.600,182.600
14-03-2026,Trà Vinh,Ngọc Thẩm,179.600,182.600
14-03-2026,Tân An,Ngọc Thẩm,179.600,182.600
