date,brand,area,type,buy,sell,time
01-01-2016,PNJ,TPHCM,PNJ,29.900,30.250,08:07:15 01/01/2016
01-01-2016,PNJ,SJC,,32.450,32.900,08:07:15 01/01/2016
01-01-2016,PNJ,Hà Nội,PNJ,29.900,30.250,09:23:05 01/01/2016
01-01-2016,PNJ,SJC,,32.650,32.900,09:23:05 01/01/2016
01-01-2016,PNJ,Đà Nẵng,PNJ,29.900,30.250,08:07:15 01/01/2016
01-01-2016,PNJ,SJC,,32.450,32.900,08:07:15 01/01/2016
01-01-2016,PNJ,Miền Tây,PNJ,29.900,30.250,08:07:15 01/01/2016
01-01-2016,PNJ,SJC,,32.450,32.900,08:07:15 01/01/2016
01-01-2016,PNJ,Giá vàng nữ trang,Nhẫn PNJ (24K),29.900,30.250,08:07:15 01/01/2016
01-01-2016,PNJ,Nữ trang 24K,,29.300,30.200,08:07:15 01/01/2016
01-01-2016,PNJ,Nữ trang 18K,,21.400,22.800,08:07:15 01/01/2016
01-01-2016,PNJ,Nữ trang 14K,,16.420,17.820,08:07:15 01/01/2016
01-01-2016,PNJ,Nữ trang 10K,,11.310,12.710,08:07:15 01/01/2016
02-01-2016,PNJ,TPHCM,PNJ,29.900,30.250,09:54:08 02/01/2016
02-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
02-01-2016,PNJ,Hà Nội,PNJ,29.900,30.250,09:54:08 02/01/2016
02-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
02-01-2016,PNJ,Đà Nẵng,PNJ,29.900,30.250,09:54:08 02/01/2016
02-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
02-01-2016,PNJ,Miền Tây,PNJ,29.900,30.250,09:54:08 02/01/2016
02-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
02-01-2016,PNJ,Giá vàng nữ trang,Nhẫn PNJ (24K),29.900,30.250,09:54:08 02/01/2016
02-01-2016,PNJ,Nữ trang 24K,,29.300,30.200,09:54:08 02/01/2016
02-01-2016,PNJ,Nữ trang 18K,,21.400,22.800,09:54:08 02/01/2016
02-01-2016,PNJ,Nữ trang 14K,,16.420,17.820,09:54:08 02/01/2016
02-01-2016,PNJ,Nữ trang 10K,,11.310,12.710,09:54:08 02/01/2016
03-01-2016,PNJ,TPHCM,PNJ,29.900,30.250,09:54:08 02/01/2016
03-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
03-01-2016,PNJ,Hà Nội,PNJ,29.900,30.250,09:54:08 02/01/2016
03-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
03-01-2016,PNJ,Đà Nẵng,PNJ,29.900,30.250,09:54:08 02/01/2016
03-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
03-01-2016,PNJ,Miền Tây,PNJ,29.900,30.250,09:54:08 02/01/2016
03-01-2016,PNJ,SJC,,32.450,32.900,09:54:08 02/01/2016
03-01-2016,PNJ,Giá vàng nữ trang,Nhẫn PNJ (24K),29.900,30.250,09:54:08 02/01/2016
03-01-2016,PNJ,Nữ trang 24K,,29.300,30.200,09:54:08 02/01/2016
03-01-2016,PNJ,Nữ trang 18K,,21.400,22.800,09:54:08 02/01/2016
03-01-2016,PNJ,Nữ trang 14K,,16.420,17.820,09:54:08 02/01/2016
03-01-2016,PNJ,Nữ trang 10K,,11.310,12.710,09:54:08 02/01/2016
04-01-2016,PNJ,TPHCM,PNJ,30.050,30.400,15:55:01 04/01/2016
04-01-2016,PNJ,SJC,,32.670,32.920,15:55:01 04/01/2016
04-01-2016,PNJ,Hà Nội,PNJ,30.050,30.400,16:01:00 04/01/2016
04-01-2016,PNJ,SJC,,32.810,32.890,16:01:00 04/01/2016
04-01-2016,PNJ,Đà Nẵng,PNJ,30.050,30.400,15:55:01 04/01/2016
04-01-2016,PNJ,SJC,,32.670,32.920,15:55:01 04/01/2016
04-01-2016,PNJ,Miền Tây,PNJ,30.050,30.400,15:55:01 04/01/2016
04-01-2016,PNJ,SJC,,32.670,32.920,15:55:01 04/01/2016
04-01-2016,PNJ,Giá vàng nữ trang,Nhẫn PNJ (24K),30.050,30.400,15:55:01 04/01/2016
04-01-2016,PNJ,Nữ trang 24K,,29.450,30.300,15:55:01 04/01/2016
04-01-2016,PNJ,Nữ trang 18K,,21.480,22.880,15:55:01 04/01/2016
04-01-2016,PNJ,Nữ trang 14K,,16.480,17.880,15:55:01 04/01/2016
04-01-2016,PNJ,Nữ trang 10K,,11.360,12.760,15:55:01 04/01/2016
05-01-2016,PNJ,TPHCM,PNJ,30.120,30.470,16:50:44 05/01/2016
05-01-2016,PNJ,SJC,,32.640,32.920,16:50:44 05/01/2016
05-01-2016,PNJ,Hà Nội,PNJ,30.120,30.470,16:50:44 05/01/2016
05-01-2016,PNJ,SJC,,32.640,32.920,16:50:44 05/01/2016
05-01-2016,PNJ,Đà Nẵng,PNJ,30.120,30.470,16:50:44 05/01/2016
05-01-2016,PNJ,SJC,,32.640,32.920,16:50:44 05/01/2016
05-01-2016,PNJ,Miền Tây,PNJ,30.120,30.470,16:50:44 05/01/2016
05-01-2016,PNJ,SJC,,32.640,32.920,16:50:44 05/01/2016
05-01-2016,PNJ,Giá vàng nữ trang,Nhẫn PNJ (24K),30.120,30.470,16:50:44 05/01/2016
05-01-2016,PNJ,Nữ trang 24K,,29.520,30.420,16:50:44 05/01/2016
05-01-2016,PNJ,Nữ trang 18K,,21.570,22.970,16:50:44 05/01/2016
05-01-2016,PNJ,Nữ trang 14K,,16.550,17.950,16:50:44 05/01/2016
05-01-2016,PNJ,Nữ trang 10K,,11.410,12.810,16:50:44 05/01/2016
06-01-2016,PNJ,TPHCM,PNJ,30.210,30.560,16:27:50 06/01/2016
06-01-2016,PNJ,SJC,,32.610,32.890,16:27:50 06/01/2016
06-01-2016,PNJ,Hà Nội,PNJ,30.210,30.560,16:27:50 06/01/2016
06-01-2016,PNJ,SJC,,32.610,32.890,16:27:50 06/01/2016
06-01-2016,PNJ,Đà Nẵng,PNJ,30.210,30.560,16:27:50 06/01/2016
06-01-2016,PNJ,SJC,,32.610,32.890,16:27:50 06/01/2016
